Адрес,Широта,Долгота,Описание ,
"Балашиха , ш. Энтузиастов, д. 39А",55.795434,37.950648,"Формат: Даркстор
Адрес: Балашиха , ш. Энтузиастов, д. 39А
ТТ: 8791
Телефон ТТ: 9250492070, 79257197275
Эл. почта: retail.2.33@vkusvill.ru, retail.2.33@vkusvill.ru
Код ТТ: 8791ДС_Бал_Энтузиастов39",
Балашиха . улица Промышленная дом 49,55.7229679,38.0189922,"Формат: Даркстор
Адрес: Балашиха . улица Промышленная дом 49
ТТ: 4781
Телефон ТТ: 9295235064, 79257197275
Эл. почта: retail.2.33@vkusvill.ru, retail.2.33@vkusvill.ru
Код ТТ: 4781ДС_Бал_Промышленная49",
"Балашиха г.  Балашиха, Балашихинское шоссе 10",55.8225691,37.9328261,"Формат: Шмель
Адрес: Балашиха г.  Балашиха, Балашихинское шоссе 10
ТТ: 1441
Телефон ТТ: 9857400458, 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 1441Ш_Бал_Балашихинское10",
"Балашиха Железнодорожный, проспект Героев 6",55.741166,38.001674,"Формат: ВкусВилл
Адрес: Балашиха Железнодорожный, проспект Героев 6
ТТ: 1124
Телефон ТТ: 9257860380, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 1124М_Жел_Героев6",
"Балашиха Железнодорожный, ул. Маяковского, д. 14",55.746439,38.0015714,"Формат: ВкусВилл
Адрес: Балашиха Железнодорожный, ул. Маяковского, д. 14
ТТ: 814
Телефон ТТ: 9257861682, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 814М_ЖД_Маяковского14",
"Балашиха Железнодорожный, ул. Юбилейная, д. 1, стр. 1",55.742164,38.017709,"Формат: ВкусВилл
Адрес: Балашиха Железнодорожный, ул. Юбилейная, д. 1, стр. 1
ТТ: 685
Телефон ТТ: 9257884859, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 685М_Жел_Юбилейная1",
"Балашиха Квартал Изумрудный, д. 12",55.823773,37.888028,"Формат: Шмель
Адрес: Балашиха Квартал Изумрудный, д. 12
ТТ: 2574
Телефон ТТ: 9258089231, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 2574Ш_Бал_КварталИзумрудный12",
"Балашиха Ленина, дом № 32А",55.798496,37.9619442,"Формат: ВкусВилл
Адрес: Балашиха Ленина, дом № 32А
ТТ: 5877
Телефон ТТ: 9261818471, 79256601621
Эл. почта: retail.2.28@vkusvill.ru, retail.2.28@vkusvill.ru
Код ТТ: 5877М_Бал_Ленина32переезд",
"Балашиха микрорайон 1 Мая, д. 17",55.8065343,37.8428666,"Формат: Жук
Адрес: Балашиха микрорайон 1 Мая, д. 17
ТТ: 2211
Телефон ТТ: 9250275785, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 2211Ж_Бал_1Мая17",
"Балашиха мкр-н Железнодорожный, ул. Советская, д. 5",55.751467,38.0099111,"Формат: ВкусВилл
Адрес: Балашиха мкр-н Железнодорожный, ул. Советская, д. 5
ТТ: 5002
Телефон ТТ: 9911440201, 79255865432
Эл. почта: retail.2.42@vkusvill.ru, retail.2.42@vkusvill.ru
Код ТТ: 5002М_Бал_Советская5",
"Балашиха мкр. Кучино, ул. Соловьева, д. 2",55.762914,37.964015,"Формат: Жук
Адрес: Балашиха мкр. Кучино, ул. Соловьева, д. 2
ТТ: 3480
Телефон ТТ: 9268914504, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 3480Ж_Бал_Соловьева2",
"Балашиха мкрн Новое Измайлово, шоссе Энтузиастов, вл. 11, стр. 4",,,Not Found,"Формат: Жук
Адрес: Балашиха микрорайон 1 Мая, д. 17
ТТ: 2211
Телефон ТТ: 9250275785, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 2211Ж_Бал_1Мая17"
"Балашиха пр-т Ленина, д. 72",55.8010597,37.9829748,"Формат: Шмель
Адрес: Балашиха пр-т Ленина, д. 72
ТТ: 2410
Телефон ТТ: 9295802678, 79256601621
Эл. почта: retail.2.28@vkusvill.ru, retail.2.28@vkusvill.ru
Код ТТ: 2410Ш_Бал_Ленина72",
"Балашиха пр. Мирской, д. 3",55.7413098,37.8809804,"Формат: Шмель
Адрес: Балашиха пр. Мирской, д. 3
ТТ: 8328
Телефон ТТ: 9268294996, 79267164323
Эл. почта: retail.r.21@vkusvill.ru, retail.r.21@vkusvill.ru
Код ТТ: 8328Ш_Бал_Мирской3",
Балашиха Советская д. 10а,55.799751,37.936639,"Формат: ВкусВилл
Адрес: Балашиха Советская д. 10а
ТТ: 1239
Телефон ТТ: 9854512504, 79256601621
Эл. почта: retail.2.28@vkusvill.ru, retail.2.28@vkusvill.ru
Код ТТ: 1239М_Бал_Советская10",
"Балашиха ул. Андрея Белого, д. 1",55.743043,38.008295,"Формат: ВкусВилл
Адрес: Балашиха ул. Андрея Белого, д. 1
ТТ: 2959
Телефон ТТ: 9295545228, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 2959М_Бал_АндреяБелого1",
"Балашиха ул. Безымянная, д. 6",55.741541,38.039637,"Формат: Жук
Адрес: Балашиха ул. Безымянная, д. 6
ТТ: 7824
Телефон ТТ: 9265883827, 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 7824Ж_Бал_Безымянная6",
"Балашиха ул. Главная, д. 1",55.7506561,37.9938777,"Формат: Жук
Адрес: Балашиха ул. Главная, д. 1
ТТ: 7114
Телефон ТТ: 9366224583, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 7114Ж_Бал_Главная1",
"Балашиха ул. Граничная, д. 12Б",55.7052635,38.0462677,"Формат: Жук
Адрес: Балашиха ул. Граничная, д. 12Б
ТТ: 8229
Телефон ТТ: 9296690191, 79255865432
Эл. почта: retail.2.42@vkusvill.ru, retail.2.42@vkusvill.ru
Код ТТ: 8229Ж_Бал_Граничная12",
"Балашиха ул. Заречная, д. 31",55.8300325,37.9637419,"Формат: Жук
Адрес: Балашиха ул. Заречная, д. 31
ТТ: 7296
Телефон ТТ: 9252652510, 79263759141
Эл. почта: trener-service12.14@vkusvill.ru, trener-service12.14@vkusvill.ru
Код ТТ: 7296Ж_Бал_Заречная31",
"Балашиха ул. Кольцевая, д. 20",55.820723,37.873952,"Формат: Шмель
Адрес: Балашиха ул. Кольцевая, д. 20
ТТ: 2103
Телефон ТТ: 9037775976, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 2103Ш_Блх_Кольцевая20",
"Балашиха ул. Корнилаева, д. 1",55.7363336,37.9974422,"Формат: Жук
Адрес: Балашиха ул. Корнилаева, д. 1
ТТ: 7632
Телефон ТТ: 9266694508, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 7632Ж_Бал_Корнилаева1",
"Балашиха ул. Лесопарковая, д. 4",55.7532227,38.0082398,"Формат: Жук
Адрес: Балашиха ул. Лесопарковая, д. 4
ТТ: 7580
Телефон ТТ: 9266722859, 79255865432
Эл. почта: retail.2.42@vkusvill.ru, retail.2.42@vkusvill.ru
Код ТТ: 7580Ж_Бал_Лесопарковая4",
"Балашиха ул. Лукино, д. 20 к.1",55.832065,37.925578,"Формат: Жук
Адрес: Балашиха ул. Лукино, д. 20 к.1
ТТ: 7741
Телефон ТТ: 9299198586, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 7741Ж_Бал_Лукино20",
"Балашиха ул. Маршала Батицкого, д. 12",55.7583838,38.0817891,"Формат: ВкусВилл
Адрес: Балашиха ул. Маршала Батицкого, д. 12
ТТ: 9009
Телефон ТТ: 9257861618, 79261604547
Эл. почта: retail.2.19@vkusvill.ru, retail.2.19@vkusvill.ru
Код ТТ: 9009ГС_Бал_МаршалаБатицкого12расширение",
"Балашиха ул. Некрасова, д. 5",55.793502,37.972519,"Формат: ВкусВилл
Адрес: Балашиха ул. Некрасова, д. 5
ТТ: 870
Телефон ТТ: 9916928026, 79256601621
Эл. почта: retail.2.28@vkusvill.ru, retail.2.28@vkusvill.ru
Код ТТ: 870М_Бал_Некрасова5",
"Балашиха ул. Пионерская, д. 29 стр. 2",55.7437214,38.0339492,"Формат: ВкусВилл
Адрес: Балашиха ул. Пионерская, д. 29 стр. 2
ТТ: 5612
Телефон ТТ: 9256683755, 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 5612М_Бал_Пионерская29",
"Балашиха ул. Реутовская, д. 11",55.784319,37.852043,"Формат: Шмель
Адрес: Балашиха ул. Реутовская, д. 11
ТТ: 7018
Телефон ТТ: 9263758024, 79256601621
Эл. почта: retail.2.28@vkusvill.ru, retail.2.28@vkusvill.ru
Код ТТ: 7018Ш_Бал_Реутовская11",
"Балашиха ул. Реутовская, д. 15",55.784147,37.846921,"Формат: ВкусВилл
Адрес: Балашиха ул. Реутовская, д. 15
ТТ: 4787
Телефон ТТ: 9295238488, 79256601621
Эл. почта: retail.2.28@vkusvill.ru, retail.2.28@vkusvill.ru
Код ТТ: 4787М_Бал_Реутовская15",
"Балашиха ул. Реутовская, д. 20",55.786788,37.849382,"Формат: Жук
Адрес: Балашиха ул. Реутовская, д. 20
ТТ: 8458
Телефон ТТ: 9267645203, 79777275069
Эл. почта: retail.dk.05@vkusvill.ru, retail.dk.05@vkusvill.ru
Код ТТ: 8458Ж_Бал_Реутовская20",
"Балашиха ул. Реутовская, д. 26",55.786658,37.852703,"Формат: Жук
Адрес: Балашиха ул. Реутовская, д. 26
ТТ: 7390
Телефон ТТ: 9296322432, 79256601621
Эл. почта: retail.2.28@vkusvill.ru, retail.2.28@vkusvill.ru
Код ТТ: 7390Ж_Бал_Реутовская26",
Балашиха ул. Свердлова 35 А,55.82887,37.97102,"Формат: ВкусВилл
Адрес: Балашиха ул. Свердлова 35 А
ТТ: 963
Телефон ТТ: 9257862246, 79256601621
Эл. почта: retail.2.28@vkusvill.ru, retail.2.28@vkusvill.ru
Код ТТ: 963М_Бал_Свердлова35",
"Балашиха ул. Свердлова, д. 52/2",55.833926,37.973325,"Формат: Жук
Адрес: Балашиха ул. Свердлова, д. 52/2
ТТ: 7219
Телефон ТТ: 9295637417, 79256601621
Эл. почта: retail.2.28@vkusvill.ru, retail.2.28@vkusvill.ru
Код ТТ: 7219Ж_Бал_Свердлова52",
"Балашиха ул. Смельчак, д. 17",55.7551307,37.9546646,"Формат: Жук
Адрес: Балашиха ул. Смельчак, д. 17
ТТ: 3049
Телефон ТТ: 9916928024, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 3049Ж_Бал_Смельчак17",
"Балашиха ул. Советская, д. 36, к. 2",55.806985,37.944285,"Формат: Даркстор
Адрес: Балашиха ул. Советская, д. 36, к. 2
ТТ: 4908
Телефон ТТ: 9267656190, 79257197275
Эл. почта: retail.2.33@vkusvill.ru, retail.2.33@vkusvill.ru
Код ТТ: 4908ДС_Бал_Советская36",
"Балашиха ул. Центральная, д. 37",55.7199096,38.0317632,"Формат: ВкусВилл
Адрес: Балашиха ул. Центральная, д. 37
ТТ: 3935
Телефон ТТ: 9916927993, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 3935М_Бал_Центральная37",
"Балашиха ул. Черняховского, д. 32А",55.7636295,37.9346674,"Формат: Шмель
Адрес: Балашиха ул. Черняховского, д. 32А
ТТ: 7631
Телефон ТТ: 9256544769, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 7631Ш_Бал_Черняховского32",
"Балашиха ул. Школьная, д. 7 к. 4",55.7491329,37.9250938,"Формат: Жук
Адрес: Балашиха ул. Школьная, д. 7 к. 4
ТТ: 7653
Телефон ТТ: 9266171690, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 7653Ж_Бал_Школьная7",
"Балашиха ул. Шоссейная, д. 5",55.753187,38.1161108,"Формат: ВкусВилл
Адрес: Балашиха ул. Шоссейная, д. 5
ТТ: 8674
Телефон ТТ: 9254404922, 79255865432
Эл. почта: retail.2.42@vkusvill.ru, retail.2.42@vkusvill.ru
Код ТТ: 8674М_Бал_Шоссейная5",
"Балашиха ул. Яганова, д. 5",55.834206,37.954821,"Формат: Жук
Адрес: Балашиха ул. Яганова, д. 5
ТТ: 7724
Телефон ТТ: 9266244530, 79263759141
Эл. почта: trener-service12.14@vkusvill.ru, trener-service12.14@vkusvill.ru
Код ТТ: 7724Ж_Бал_Яганова5",
"Балашиха ул.Дмитриева, д.34",55.83479,37.9343917,"Формат: Шмель
Адрес: Балашиха ул.Дмитриева, д.34
ТТ: 1395
Телефон ТТ: 9257800174, 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 1395Ш_Бал_Дмитриева34",
"Балашиха ш. Вишняковское, д. 95",55.775955,37.900568,"Формат: ВкусВилл
Адрес: Балашиха ш. Вишняковское, д. 95
ТТ: 2054
Телефон ТТ: 9915789021, 79256601621
Эл. почта: retail.2.28@vkusvill.ru, retail.2.28@vkusvill.ru
Код ТТ: 2054М_Бал_Вишняковское95",
"Балашиха ш. Косинское, д. 2",55.7246971,37.9742369,"Формат: Жук
Адрес: Балашиха ш. Косинское, д. 2
ТТ: 7499
Телефон ТТ: 9296044078, 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 7499Ж_Бал_Косинское2",
"Балашиха ш. Косинское, д. 7",55.7200944,37.9737508,"Формат: Жук
Адрес: Балашиха ш. Косинское, д. 7
ТТ: 8382
Телефон ТТ: 9299094493, 79777275069
Эл. почта: retail.dk.05@vkusvill.ru, retail.dk.05@vkusvill.ru
Код ТТ: 8382Ж_Бал_Косинское7",
"Балашиха шоссе Энтузиастов, 32",55.793035,37.93678,"Формат: Шмель
Адрес: Балашиха шоссе Энтузиастов, 32
ТТ: 1461
Телефон ТТ: 9263941347, 79256601621
Эл. почта: retail.2.28@vkusvill.ru, retail.2.28@vkusvill.ru
Код ТТ: 1461Ш_Бал_ШоссеЭнтузиастов32",
"Белоозерский Молодёжная, дом № 16В",55.461334,38.447526,"Формат: ВкусВилл
Адрес: Белоозерский Молодёжная, дом № 16В
ТТ: 5694
Телефон ТТ: 9261844285, 79261606143
Эл. почта: vartanova.74@list.ru, vartanova.74@list.ru
Код ТТ: 5694М_Бел_Молодежная16",
"Бережки  Каскад Парк тер, д. 51",55.38641,37.62166,"Формат: Шмель
Адрес: Бережки  Каскад Парк тер, д. 51
ТТ: 7915
Телефон ТТ: 9299407216, 79254084912
Эл. почта: retail.1.18@vkusvill.ru, retail.1.18@vkusvill.ru
Код ТТ: 7915Ш_Береж_КаскадПарк51",
"Битца б-р Южный, д. 5",55.557928,37.596857,"Формат: Шмель
Адрес: Битца б-р Южный, д. 5
ТТ: 6480
Телефон ТТ: 9366224616, 79296106533
Эл. почта: retail.1.29@vkusvill.ru, retail.1.29@vkusvill.ru
Код ТТ: 6480Ш_Бтц_Южный5",
"Битца ул. Парковая, д. 3",55.55529,37.594998,"Формат: Жук
Адрес: Битца ул. Парковая, д. 3
ТТ: 7088
Телефон ТТ: 9295635052, 79296096417
Эл. почта: retail.r.30@vkusvill.ru, retail.r.30@vkusvill.ru
Код ТТ: 7088Ж_Бтц_Парковая3",
"Боброво , стр № 239",55.540171,37.611376,"Формат: Даркстор
Адрес: Боброво , стр № 239
ТТ: 7087
Телефон ТТ: 9299046470, 79256594088
Эл. почта: retail.1.21@vkusvill.ru, retail.1.21@vkusvill.ru
Код ТТ: 7087ДС_Ббр_239",
"Боброво ул. Крымская, д. 3",55.536746,37.61388,"Формат: ВкусВилл
Адрес: Боброво ул. Крымская, д. 3
ТТ: 6361
Телефон ТТ: 9256599683, 79266610372
Эл. почта: retail.r.32@vkusvill.ru, retail.r.32@vkusvill.ru
Код ТТ: 6361М_Ббр_Крымская3",
"Боброво ул. Лесная, д. 24",55.531183,37.620465,"Формат: Жук
Адрес: Боброво ул. Лесная, д. 24
ТТ: 7272
Телефон ТТ: 9296752540, 79257860519
Эл. почта: retail.1.38@vkusvill.ru, retail.1.38@vkusvill.ru
Код ТТ: 7272Ж_Ббр_Лесная24",
"Бородино ул. Малая Бородинская, д. 1 к. 1",55.922362,37.66092,"Формат: Жук
Адрес: Бородино ул. Малая Бородинская, д. 1 к. 1
ТТ: 6818
Телефон ТТ: 9254095814, 79267163642
Эл. почта: retail.3.14@vkusvill.ru, retail.3.14@vkusvill.ru
Код ТТ: 6818Ж_Боро_МалаяБородинская1",
"Бронницы ул. Советская, д. 110А",55.4171121,38.2798219,"Формат: Шмель
Адрес: Бронницы ул. Советская, д. 110А
ТТ: 3295
Телефон ТТ: 9266862972, 79261606143
Эл. почта: vartanova.74@list.ru, vartanova.74@list.ru
Код ТТ: 3295Ш_Бро_Советская110",
"Бронницы ул. Советская, д. 50",55.425109,38.2652263,"Формат: ВкусВилл
Адрес: Бронницы ул. Советская, д. 50
ТТ: 7224
Телефон ТТ: 9295637528, 79261604547
Эл. почта: retail.2.19@vkusvill.ru, retail.2.19@vkusvill.ru
Код ТТ: 7224ГС_Бро_Советская50",
"Бутово ул. ЖК Бутово-Парк, д. 8, к. 1",,,Not Found,"Формат: Жук
Адрес: Боброво ул. Лесная, д. 24
ТТ: 7272
Телефон ТТ: 9296752540, 79257860519
Эл. почта: retail.1.38@vkusvill.ru, retail.1.38@vkusvill.ru
Код ТТ: 7272Ж_Ббр_Лесная24"
"Верхнее Мячково ул. Нижняя Подгорная, уч. 2д",55.5470298,38.0058625,"Формат: Шмель
Адрес: Верхнее Мячково ул. Нижняя Подгорная, уч. 2д
ТТ: 8281
Телефон ТТ: 9266649886, 79261606143
Эл. почта: vartanova.74@list.ru, vartanova.74@list.ru
Код ТТ: 8281Ш_ВерхМяч_НижняяПодгорная2",
"Вешки ул. Заводская, стр. 16",55.925534,37.601684,"Формат: ВкусВилл
Адрес: Вешки ул. Заводская, стр. 16
ТТ: 8681
Телефон ТТ: 9261868610, 79267165688
Эл. почта: retail.3.38@vkusvill.ru, retail.3.38@vkusvill.ru
Код ТТ: 8681М_Вшк_Заводская16",
"Видное . ул. Березовая, д. 2",55.54572,37.719111,"Формат: Даркстор
Адрес: Видное . ул. Березовая, д. 2
ТТ: 5123
Телефон ТТ: 9253783138, 79261784751
Эл. почта: retail.2.38@vkusvill.ru, retail.2.38@vkusvill.ru
Код ТТ: 5123ДС_Вид_Березовая2",
"Видное б-р Зеленые аллеи, д. 2",55.558788,37.693839,"Формат: Жук
Адрес: Видное б-р Зеленые аллеи, д. 2
ТТ: 7358
Телефон ТТ: 9296691462, 79257862455
Эл. почта: retail.2.4@vkusvill.ru, retail.2.4@vkusvill.ru
Код ТТ: 7358Ж_Вид_ЗеленыеАллеи2",
"Видное бульвар Зелёные Аллеи, дом № 9",55.560224,37.704412,"Формат: ВкусВилл
Адрес: Видное бульвар Зелёные Аллеи, дом № 9
ТТ: 4943
Телефон ТТ: 9267258663, 79257862455
Эл. почта: retail.2.4@vkusvill.ru, retail.2.4@vkusvill.ru
Код ТТ: 4943М_Вид_ЗелёныеАллеи9",
"Видное мкр. «Солнечный», дом 10",55.5639995,37.8255811,"Формат: ВкусВилл
Адрес: Видное мкр. «Солнечный», дом 10
ТТ: 920
Телефон ТТ: 9257862057, 79257862455
Эл. почта: retail.2.4@vkusvill.ru, retail.2.4@vkusvill.ru
Код ТТ: 920М_Вид_Солнечный10",
"Видное пр. Советский, д. 4",55.5551214,37.7088335,"Формат: Шмель
Адрес: Видное пр. Советский, д. 4
ТТ: 7234
Телефон ТТ: 9296582628, 79257862455
Эл. почта: retail.2.4@vkusvill.ru, retail.2.4@vkusvill.ru
Код ТТ: 7234Ш_Вид_Советский4",
"Видное ул. Березовая, д. 1",55.5458304,37.7211307,"Формат: Шмель
Адрес: Видное ул. Березовая, д. 1
ТТ: 748
Телефон ТТ: 9257861886, 79257862455
Эл. почта: retail.2.4@vkusvill.ru, retail.2.4@vkusvill.ru
Код ТТ: 748Ш_В_Березовая1",
"Видное ул. Завидная, д. 10",55.5405542,37.7215169,"Формат: ВкусВилл
Адрес: Видное ул. Завидная, д. 10
ТТ: 2185
Телефон ТТ: 9250290208, 79257862455
Эл. почта: retail.2.4@vkusvill.ru, retail.2.4@vkusvill.ru
Код ТТ: 2185М_Вид_Завидная10",
"Видное ул. Завидная, д. 9",55.5386435,37.7272653,"Формат: Жук
Адрес: Видное ул. Завидная, д. 9
ТТ: 7602
Телефон ТТ: 9295636137, 79296096417
Эл. почта: retail.r.30@vkusvill.ru, retail.r.30@vkusvill.ru
Код ТТ: 7602Ж_Вид_Завидная9",
"Видное ул. Олимпийская, д. 1 к. 2",55.55057,37.689366,"Формат: Шмель
Адрес: Видное ул. Олимпийская, д. 1 к. 2
ТТ: 6992
Телефон ТТ: 9267166302, 79257862455
Эл. почта: retail.2.4@vkusvill.ru, retail.2.4@vkusvill.ru
Код ТТ: 6992Ш_Вид_Олимпийская1",
"Видное ул. Радужная, д. 2",55.542807,37.7102924,"Формат: Шмель
Адрес: Видное ул. Радужная, д. 2
ТТ: 1719
Телефон ТТ: 9857400767, 79257862455
Эл. почта: retail.2.4@vkusvill.ru, retail.2.4@vkusvill.ru
Код ТТ: 1719Ш_Вид_Радужная2",
"Видное ул. Святослава Рихтера, д. 6",55.538585,37.643776,"Формат: Жук
Адрес: Видное ул. Святослава Рихтера, д. 6
ТТ: 7245
Телефон ТТ: 9296496771, 79257862455
Эл. почта: retail.2.4@vkusvill.ru, retail.2.4@vkusvill.ru
Код ТТ: 7245Ж_Вид_СвятославаРихтера6",
"Власиха ул. Маршала Жукова, д. 13А",55.6802271,37.1933277,"Формат: Шмель
Адрес: Власиха ул. Маршала Жукова, д. 13А
ТТ: 7658
Телефон ТТ: 9265864623, 79257214631
Эл. почта: retail.1.33@vkusvill.ru, retail.1.33@vkusvill.ru
Код ТТ: 7658Ш_Влас_МаршалаЖукова13",
"ВНИИССОК п. ВНИИССОК, ул. Михаила Кутузова, д. 3А",55.6593617,37.214372,"Формат: Жук
Адрес: ВНИИССОК п. ВНИИССОК, ул. Михаила Кутузова, д. 3А
ТТ: 4738
Телефон ТТ: 9295237698, 79259523490
Эл. почта: retail.1.16@vkusvill.ru, retail.1.16@vkusvill.ru
Код ТТ: 4738Ж_МихаилаКутузова3",
"ВНИИССОК ул. Березовая, д. 6",55.657837,37.2026151,"Формат: ВкусВилл
Адрес: ВНИИССОК ул. Березовая, д. 6
ТТ: 1675
Телефон ТТ: 9261604210, 79259523490
Эл. почта: retail.1.16@vkusvill.ru, retail.1.16@vkusvill.ru
Код ТТ: 1675М_ВНИ_Березовая6",
"ВНИИССОК ул. Дениса Давыдова, д. 4",55.6593941,37.2316886,"Формат: Жук
Адрес: ВНИИССОК ул. Дениса Давыдова, д. 4
ТТ: 7244
Телефон ТТ: 9252656744, 79259523490
Эл. почта: retail.1.16@vkusvill.ru, retail.1.16@vkusvill.ru
Код ТТ: 7244Ж_ВНИИССОК_ДенисаДавыдова4",
"Володарского Ленинский р-н пос.Володарского ул. Центральная, д. 22",,,Not Found,"Формат: Жук
Адрес: Видное ул. Святослава Рихтера, д. 6
ТТ: 7245
Телефон ТТ: 9296496771, 79257862455
Эл. почта: retail.2.4@vkusvill.ru, retail.2.4@vkusvill.ru
Код ТТ: 7245Ж_Вид_СвятославаРихтера6"
